timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664822220268,0.114746094,-0.47686768,0.044128418,-2.609375,-11.84375,11.015625,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220316,0.12158203,-0.5564575,0.06951904,14.71875,-13.5625,9.109375,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220347,0.052001953,-0.7678833,0.16204834,17.015625,-12.109375,9.65625,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220388,0.067871094,-0.8340454,0.22894287,4.515625,-8.453125,3.1875,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220437,0.07080078,-0.84698486,0.17059326,-5.328125,-11.484375,1.234375,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220465,0.16723633,-0.8982544,0.30267334,-4.734375,-12.71875,0.46875,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220509,-0.06762695,-0.98394775,0.26385498,-6.515625,-10.203125,-11.140625,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220585,-0.020507812,-1.1809692,0.2062378,2.109375,-9.96875,-24.25,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220591,0.15917969,-1.4382935,0.12347412,9.046875,-24.828125,-25.484375,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220628,-0.13769531,-1.7859497,-0.0154418945,21.71875,8.921875,-15.390625,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220658,0.09741211,-1.2217407,0.011169434,9.125,28.84375,-8.03125,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220705,-0.014160156,-0.82476807,-0.11895752,7.0,22.859375,-5.65625,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220748,-0.044677734,-0.9817505,-0.10723877,11.109375,16.859375,-10.40625,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220778,0.03491211,-1.1184692,0.050476074,9.515625,10.578125,-13.921875,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220826,-0.19067383,-0.9783325,0.09515381,-5.375,20.640625,-4.296875,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220853,-0.21313477,-0.6831665,-0.006164551,-2.640625,24.625,-5.359375,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220898,-0.05517578,-0.5720825,-0.0010375977,6.65625,25.765625,-7.234375,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220945,-0.09301758,-0.67266846,-0.013244629,4.84375,18.09375,-1.390625,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822220973,-0.09448242,-0.70098877,0.02923584,9.9375,20.140625,-1.953125,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822221019,-0.1472168,-0.767395,-0.04522705,1.421875,12.609375,-0.328125,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822221065,-0.006591797,-0.8870239,0.07733154,9.09375,9.9375,0.484375,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
1664822221093,-0.21191406,-0.93536377,0.08856201,8.90625,9.90625,7.84375,Respeck,Climbing stairs,12,s2299270,,Respeck_s2299270_Climbing stairs_03-10-2022_19-37-38
